"Ano","Variável","Valor"
"2002","Área plantada (Hectares)","48117461"
"2002","Área colhida (Hectares)","46993996"
"2002","Valor da produção (Mil Reais)","58109799"
"2003","Área plantada (Hectares)","52110698"
"2003","Área colhida (Hectares)","51380817"
"2003","Valor da produção (Mil Reais)","82549769"
"2004","Área plantada (Hectares)","56662542"
"2004","Área colhida (Hectares)","55703140"
"2004","Valor da produção (Mil Reais)","89982658"
"2005","Área plantada (Hectares)","57964209"
"2005","Área colhida (Hectares)","56394066"
"2005","Valor da produção (Mil Reais)","75167563"
"2006","Área plantada (Hectares)","56069983"
"2006","Área colhida (Hectares)","55007289"
"2006","Valor da produção (Mil Reais)","72968350"
"2007","Área plantada (Hectares)","55887379"
"2007","Área colhida (Hectares)","55343726"
"2007","Valor da produção (Mil Reais)","91651075"
"2008","Área plantada (Hectares)","59032241"
"2008","Área colhida (Hectares)","58277211"
"2008","Valor da produção (Mil Reais)","120550804"
"2009","Área plantada (Hectares)","59431710"
"2009","Área colhida (Hectares)","58415911"
"2009","Valor da produção (Mil Reais)","114743850"
"2010","Área plantada (Hectares)","59059599"
"2010","Área colhida (Hectares)","58332399"
"2010","Valor da produção (Mil Reais)","121380907"
"2011","Área plantada (Hectares)","61841033"
"2011","Área colhida (Hectares)","60967619"
"2011","Valor da produção (Mil Reais)","156020452"
"2012","Área plantada (Hectares)","63030377"
"2012","Área colhida (Hectares)","61269247"
"2012","Valor da produção (Mil Reais)","165858421"
"2013","Área plantada (Hectares)","66412304"
"2013","Área colhida (Hectares)","65396271"
"2013","Valor da produção (Mil Reais)","196083410"
"2014","Área plantada (Hectares)","70398423"
"2014","Área colhida (Hectares)","69644674"
"2014","Valor da produção (Mil Reais)","208920350"
"2015","Área plantada (Hectares)","71031304"
"2015","Área colhida (Hectares)","70142463"
"2015","Valor da produção (Mil Reais)","220519243"
"2016","Área plantada (Hectares)","71432966"
"2016","Área colhida (Hectares)","69627596"
"2016","Valor da produção (Mil Reais)","262167363"
"2017","Área plantada (Hectares)","73644898"
"2017","Área colhida (Hectares)","72914819"
"2017","Valor da produção (Mil Reais)","260888856"
"2018","Área plantada (Hectares)","73274337"
"2018","Área colhida (Hectares)","72610755"
"2018","Valor da produção (Mil Reais)","282953793"
"2019","Área plantada (Hectares)","75898382"
"2019","Área colhida (Hectares)","75327342"
"2019","Valor da produção (Mil Reais)","302040271"
"2020","Área plantada (Hectares)","77955437"
"2020","Área colhida (Hectares)","77720375"
"2020","Valor da produção (Mil Reais)","393261145"
"2021","Área plantada (Hectares)","81211021"
"2021","Área colhida (Hectares)","80397694"
"2021","Valor da produção (Mil Reais)","650618452"
"2022","Área plantada (Hectares)","85834569"
"2022","Área colhida (Hectares)","85164968"
"2022","Valor da produção (Mil Reais)","716326539"
"2023","Área plantada (Hectares)","90627452"
"2023","Área colhida (Hectares)","90172569"
"2023","Valor da produção (Mil Reais)","690933540"
"2024","Área plantada (Hectares)","91632149"
"2024","Área colhida (Hectares)","90786302"
"2024","Valor da produção (Mil Reais)","604866276"